Property_Type,Sub_Type,Square_Feet,Bathrooms,Bedrooms,Stories,Year_Built,Listing_Price,Price_per_SqFt,Property_Age
single_family,,5082,4,4,2,2010,799900,157.3986619,16
single_family,,2017,3,3,2,1999,529000,262.2706991,27
single_family,,1500,3,4,2,2000,325000,216.6666667,26
single_family,,3636,5,5,3,2014,1550000,426.2926293,12
single_family,,803,1,2,,1953,5000,6.226650062,73
single_family,,1465,2,3,1,1994,359000,245.0511945,32
single_family,,1428,2,3,,1991,600000,420.1680672,35
single_family,,2276,7,5,,2023,1489000,654.2179262,3
land,,2276,0,,,,34900,15.33391916,2026
single_family,,1100,2,3,1,1985,85000,77.27272727,41
condos,condo,901,2,2,1,1983,177000,196.4483907,43
multi_family,,2554,4,3,,1918,390000,152.7016445,108
condos,condo,407,1,,1,1980,99000,243.2432432,46
single_family,,2480,3,4,2,2024,420000,169.3548387,2
single_family,,1613,2,3,,2000,595000,368.8778673,26
single_family,,2304,2,5,2,1945,299900,130.1649306,81
townhomes,townhouse,1320,3,3,2,2012,280000,212.1212121,14
single_family,,2106,2,4,1,1996,339900,161.3960114,30
single_family,,1199,2,3,1,,257000,214.3452877,2026
single_family,,1146,2,3,,1956,179900,156.9808028,70
single_family,,1439,3,3,2,1980,285000,198.0542043,46
single_family,,3013,3,5,2,1971,1225000,406.5715234,55
land,,1199,0,,,,9499,7.922435363,2026
condos,condo,1146,1,,1,2001,138500,120.8551483,25
single_family,,1439,2,4,,2025,398000,276.580959,1
land,,3013,0,,,,74000,24.56023896,2026
land,,1146,0,,,,16500,14.39790576,2026
land,,1439,0,,,,25000,17.37317582,2026
land,,3013,0,,,,85000,28.2110853,2026
single_family,,2316,3,4,2,1984,349000,150.6908463,42
single_family,,1030,2,2,1,1983,375000,364.0776699,43
condos,condo,1204,2,2,1,1985,145000,120.4318937,41
single_family,,1053,1,3,1,1940,158000,150.0474834,86
farm,,1199,,,,,185000,154.295246,2026
single_family,,1146,3,3,2,2006,646000,563.6998255,20
land,,1439,0,,,,75000,52.11952745,2026
condos,condo,3013,2,3,1,2001,350000,116.1632924,25
single_family,,1137,2,2,1,2000,389500,342.5681618,26
land,,1199,0,,,,65000,54.2118432,2026
single_family,,1146,2,3,,2006,444900,388.2198953,20
townhomes,townhouse,1439,2,2,,1999,159000,110.4933982,27
single_family,,3013,4,4,2,2002,655000,217.3913043,24
single_family,,1855,2,4,2,2007,285000,153.638814,19
single_family,,3233,5,5,,,695000,214.9706155,2026
single_family,,2426,3,3,2,2018,499900,206.059357,8
single_family,,1715,2,3,1,,386550,225.393586,2026
single_family,,1960,3,4,,1953,155000,79.08163265,73
land,,1199,0,,,,39000,32.52710592,2026
single_family,,1146,3,4,1,,185000,161.4310646,2026
single_family,,1439,2,3,1,1997,464900,323.0715775,29
condos,condo,2100,1,,1,1988,76900,36.61904762,38
land,,1580,0,,,,425000,268.9873418,2026
single_family,,2767,3,3,2,,389900,140.9107336,2026
single_family,,2767,2,3,1,1969,254900,92.12143115,57
single_family,,2767,2,3,2,1979,799000,288.7603903,47
farm,,2767,,,,,300000,108.4206722,2026
single_family,,2592,3,5,2,1998,248500,95.87191358,28
single_family,,1913,,3,1,,,0,2026
townhomes,townhouse,1445,3,3,2,2024,237100,164.083045,2
single_family,,1764,2,3,,,675000,382.6530612,2026
single_family,,1352,2,3,1,1980,440000,325.443787,46
single_family,,3652,4,5,2,1981,499000,136.6374589,45
single_family,,1376,2,3,1,2004,208500,151.5261628,22
single_family,,1932,2,4,1,2026,374900,194.047619,0
single_family,,2756,3,4,2,1850,319900,116.0740203,176
single_family,,2189,3,3,2,1995,375000,171.311101,31
single_family,,1284,2,3,,2002,374900,291.9781931,24
farm,,1284,,,,,99000,77.10280374,2026
townhomes,townhouse,1579,3,3,2,2016,299000,189.3603547,10
single_family,,1332,2,3,1,2006,283000,212.4624625,20
single_family,,3567,4,5,2,2007,1250000,350.4345388,19
single_family,,1166,2,2,1,1988,585000,501.7152659,38
single_family,,1128,2,3,1,1983,115000,101.9503546,43
single_family,,1326,2,3,,1983,190000,143.2880845,43
single_family,,800,2,3,1,1957,319900,399.875,69
condos,condo,572,1,2,1,1984,264900,463.1118881,42
single_family,,2397,3,3,1,2018,519000,216.5206508,8
single_family,,2684,3,4,2,2004,598000,222.8017884,22
condos,condo,872,2,2,1,1980,245900,281.9954128,46
single_family,,1647,2,3,,1952,85000,51.60898604,74
condos,condo,1245,2,3,1,1994,199999,160.6417671,32
single_family,,1646,2,3,1,2000,299900,182.199271,26
single_family,,1400,3,3,2,1988,289900,207.0714286,38
single_family,,1798,2,4,,1964,149900,83.37041157,62
land,,1650,0,,,,35900,21.75757576,2026
