Property_Type,Sub_Type,Square_Feet,Bathrooms,Bedrooms,Stories,Year_Built,Listing_Price,Price_per_SqFt,Property_Age
condos,condo,922,2,2,1,1979,239900,260.1952278,47
single_family,,1572,2,2,1,1991,314500,200.0636132,35
land,,1650,,,,,29000,17.57575758,2026
single_family,,1672,2,3,1,,385500,230.562201,2026
single_family,,2166,3,4,2,2014,376000,173.5918744,12
single_family,,1474,2,3,1,2021,450000,305.2917232,5
single_family,,1312,2,3,,1987,234900,179.0396341,39
single_family,,1774,,4,1,,284490,160.3664036,2026
single_family,,3400,3,5,2,2011,685000,201.4705882,15
condos,condo,1050,2,2,1,2001,200000,190.4761905,25
single_family,,1524,2,4,1,2004,314900,206.6272966,22
single_family,,1383,2,3,1,1950,199990,144.6059291,76
single_family,,1338,,3,1,,,0,2026
single_family,,800,1,2,1,1980,45000,56.25,46
single_family,,1863,2,3,,1979,235000,126.1406334,47
condos,condo,1204,2,2,2,1999,460000,382.0598007,27
single_family,,3055,4,4,2,2025,536990,175.7741408,1
single_family,,2500,3,4,1,1952,575000,230,74
single_family,,1920,2,4,,2009,259000,134.8958333,17
single_family,,1805,2,3,1,,299000,165.6509695,2026
single_family,,2600,3,4,2,2025,749075,288.1057692,1
single_family,,2432,4,4,1,2025,404990,166.5254934,1
single_family,,1800,2,4,2,2004,269000,149.4444444,22
condos,condo,2204,4,4,1,2009,1460000,662.4319419,17
condos,condo,637,1,1,1,1985,174900,274.5682889,41
condos,condo,1150,2,3,1,1984,474900,412.9565217,42
single_family,,1205,2,3,1,1966,225000,186.7219917,60
single_family,,1075,2,3,,1971,120000,111.627907,55
single_family,,1420,2,3,1,,225000,158.4507042,2026
single_family,,1562,2,3,,1949,249900,159.9871959,77
land,,1650,,,,,85000,51.51515152,2026
townhomes,townhouse,1580,3,2,2,1980,225000,142.4050633,46
land,,1650,,,,,75000,45.45454545,2026
land,,1650,0,,,,92900,56.3030303,2026
land,,1650,,,,,29900,18.12121212,2026
land,,1650,0,,,,159900,96.90909091,2026
single_family,,1909,,4,3,,,0,2026
single_family,,3016,4,4,2,2011,689000,228.4482759,15
land,,1650,,,,,75000,45.45454545,2026
land,,1650,0,,,,27000,16.36363636,2026
land,,1650,0,,,,999000,605.4545455,2026
single_family,,1650,2,3,1,,239000,144.8484848,2026
land,,1650,,,,,90000,54.54545455,2026
land,,1650,,,,,60000,36.36363636,2026
condos,condo,1094,2,2,1,2000,499000,456.1243144,26
land,,1650,0,,,,1559116,944.9187879,2026
land,,1650,,,,,75000,45.45454545,2026
land,,1650,,,,,24000,14.54545455,2026
single_family,,1023,1,3,1,1961,127000,124.1446725,65
land,,1650,0,,,,150000,90.90909091,2026
land,,1650,0,,,,70000,42.42424242,2026
single_family,,1640,2,3,1,1954,239000,145.7317073,72
land,,1650,0,,,,19900,12.06060606,2026
land,,1650,,,,,32500,19.6969697,2026
single_family,,960,1,3,1,1978,266900,278.0208333,48
land,,1650,,,,,29000,17.57575758,2026
single_family,,1177,2,3,2,1987,249900,212.3194562,39
land,,1650,0,,,,40000,24.24242424,2026
land,,1650,,,,,20000,12.12121212,2026
land,,1650,0,,,,199900,121.1515152,2026
land,,1650,0,,,,399000,241.8181818,2026
land,,1650,0,,,,69900,42.36363636,2026
single_family,,2014,3,4,2,,234990,116.6782522,2026
land,,1650,0,,,,69900,42.36363636,2026
land,,1650,0,,,,165000,100,2026
land,,1650,0,,,,62000,37.57575758,2026
land,,1650,0,,,,69900,42.36363636,2026
land,,1650,0,,,,27900,16.90909091,2026
land,,1650,0,,,,44800,27.15151515,2026
land,,1650,0,,,,149995,90.90606061,2026
condos,condo,1120,2,2,,1985,105000,93.75,41
land,,1650,0,,,,62000,37.57575758,2026
multi_family,,1650,,,1,,225000,136.3636364,2026
single_family,,1650,4,4,2,1995,499900,302.969697,31
land,,1650,0,,,,78000,47.27272727,2026
single_family,,2425,3,4,1,2025,1019865,420.5628866,1
land,,1650,,,,,55390,33.56969697,2026
farm,,1650,,,,,118000,71.51515152,2026
single_family,,3161,3,3,,2002,639000,202.151218,24
single_family,,2349,5,4,,2013,2389000,1017.028523,13
single_family,,1371,2,3,1,2019,315000,229.7592998,7
single_family,,3100,3,4,1,1974,294900,95.12903226,52
single_family,,1767,3,3,2,1989,169900,96.1516695,37
single_family,,1936,2,4,2,1999,639000,330.0619835,27
single_family,,1612,2,3,1,,325000,201.6129032,2026
single_family,,1800,2,4,2,1983,399000,221.6666667,43
land,,1650,0,,,,185000,112.1212121,2026
single_family,,2340,3,3,,2000,379000,161.965812,26
single_family,,2793,3,4,2,1995,650000,232.7246688,31
single_family,,2032,2,3,1,,269900,132.8248031,2026
single_family,,2026,2,4,1,1952,150000,74.03751234,74
townhomes,,1573,3,3,2,,255990,162.7399873,2026
single_family,,1580,2,3,1,1998,289000,182.9113924,28
single_family,,2356,3,4,2,2018,345000,146.434635,8
single_family,,1450,3,3,2,2004,825000,568.9655172,22
condos,condo,1248,3,2,2,1985,149500,119.7916667,41
single_family,,3362,5,4,2,2008,649000,193.0398572,18
single_family,,1650,3,3,,1991,515000,312.1212121,35
land,,1650,0,,,,189900,115.0909091,2026
single_family,,1815,2,3,1,1973,265000,146.0055096,53
single_family,,1613,2,2,1,2001,290000,179.7892126,25
single_family,,4104,4,4,2,1967,699900,170.5409357,59
land,,1650,0,,,,70000,42.42424242,2026
single_family,,888,1,3,1,1956,45000,50.67567568,70
single_family,,1500,3,3,2,1980,579000,386,46
single_family,,1260,2,3,1,1952,259000,205.5555556,74
townhomes,,1573,3,3,2,,265990,169.0972664,2026
single_family,,1415,2,3,,,399900,282.614841,2026
single_family,,2400,4,4,2,2004,460000,191.6666667,22
single_family,,1232,2,3,1,2000,255000,206.9805195,26
single_family,,1300,1,3,1,,129900,99.92307692,2026
single_family,,3270,5,4,2,2003,950000,290.5198777,23
single_family,,1440,3,3,,2025,237977,165.2618056,1
land,,1650,0,,,,24000,14.54545455,2026
single_family,,696,1,2,1,1940,115000,165.2298851,86
condos,condo,1403,2,2,,2005,349900,249.3941554,21
single_family,,2578,3,4,2,2016,379000,147.0131885,10
single_family,,6890,5,8,3,1930,1750000,253.9912917,96
condos,condo,1200,2,2,1,2005,409999,341.6658333,21
single_family,,1564,2,3,1,1999,300000,191.8158568,27
single_family,,2520,3,5,2,2006,306000,121.4285714,20
single_family,,1575,1,2,1,1954,194900,123.7460317,72
townhomes,,1573,3,3,2,,251990,160.1970757,2026
single_family,,1648,2,3,1,,334900,203.2160194,2026
single_family,,1827,2,4,,1940,83000,45.42966612,86
townhomes,,1573,3,3,2,,252990,160.8328036,2026
single_family,,2226,2,4,2,2011,568000,255.1662174,15
single_family,,1194,1,2,1,,225000,188.4422111,2026
multi_family,,1664,2,3,2,1975,295000,177.2836538,51
single_family,,2797,4,4,3,2001,989000,353.5931355,25
single_family,,1449,2,3,1,2025,304105,209.8723257,1
townhomes,townhouse,917,2,2,1,2003,205000,223.5550709,23
single_family,,1294,2,4,1,1968,169900,131.2982998,58
condos,condo,2385,4,5,1,2004,1200000,503.1446541,22
condos,condo,1236,2,2,2,1987,230000,186.0841424,39
single_family,,1424,2,3,1,2005,319900,224.6488764,21
single_family,,788,1,2,,1965,89000,112.9441624,61
single_family,,2663,4,3,,2007,689000,258.7307548,19
land,,1650,0,,,,99000,60,2026
land,,1650,0,,,,311600,188.8484848,2026
land,,1650,0,,,,250000,151.5151515,2026
land,,1650,,,,,148500,90,2026
land,,1650,0,,,,128495,77.87575758,2026
land,,1650,0,,,,30000,18.18181818,2026
single_family,,3171,4,4,2,2019,714900,225.4493851,7
single_family,,2613,4,3,2,2019,644900,246.8044393,7
single_family,,1130,2,2,1,1986,205000,181.4159292,40
land,,1650,0,,,,12000,7.272727273,2026
land,,1650,0,,,,263880,159.9272727,2026
land,,1650,0,,,,275000,166.6666667,2026
townhomes,townhouse,2150,3,3,2,2005,299900,139.4883721,21
condos,condo,656,2,1,1,1986,124900,190.3963415,40
land,,1650,0,,,,48000,29.09090909,2026
land,,1650,0,,,,54500,33.03030303,2026
land,,1650,0,,,,55000,33.33333333,2026
land,,1650,0,,,,119000,72.12121212,2026
single_family,,1275,2,2,,2023,475000,372.5490196,3
single_family,,1904,3,3,2,2008,599900,315.0735294,18
land,,1650,0,,,,190000,115.1515152,2026
land,,1650,0,,,,10000,6.060606061,2026
single_family,,1416,2,3,1,2025,420000,296.6101695,1
land,,1650,0,,,,385000,233.3333333,2026
single_family,,1330,1,2,1,1936,115000,86.46616541,90
single_family,,1996,2,3,1,,917000,459.4188377,2026
single_family,,2050,3,3,1,1997,409900,199.9512195,29
single_family,,2240,5,4,,,999995,446.4263393,2026
land,,1650,0,,,,12900,7.818181818,2026
single_family,,2400,3,3,2,,435000,181.25,2026
townhomes,townhouse,1620,3,3,2,,345000,212.962963,2026
land,,1650,0,,,,49000,29.6969697,2026
single_family,,2991,3,5,2,2012,500000,167.1681712,14
single_family,,2250,3,4,,1978,285000,126.6666667,48
single_family,,1660,,4,2,,269990,162.6445783,2026
single_family,,3511,4,4,1,1972,797000,227.0008545,54
single_family,,2406,3,3,2,2024,447000,185.7855362,2
land,,1650,0,,,,20000,12.12121212,2026
townhomes,townhouse,1092,2,2,,2004,163500,149.7252747,22
condos,condo,700,1,1,1,1986,310000,442.8571429,40
land,,1650,0,,,,59900,36.3030303,2026
single_family,,1475,2,3,,2024,239000,162.0338983,2
single_family,,1905,2,3,,1950,279900,146.9291339,76
single_family,,842,1,1,2,1983,359000,426.3657957,43
townhomes,townhouse,1722,3,3,2,2025,322900,187.514518,1
condos,condo,1200,2,2,,1988,383000,319.1666667,38
single_family,,1941,2,4,2,1920,649900,334.8274086,106
single_family,,2081,3,4,2,2017,680000,326.7659779,9
single_family,,1684,2,4,1,,229990,136.5736342,2026
single_family,,2157,4,4,2,1976,999000,463.1432545,50
single_family,,2314,3,4,,2012,299000,129.2134831,14
land,,1650,0,,,,12000,7.272727273,2026
single_family,,1404,2,3,,1958,65000,46.2962963,68
land,,1650,0,,,,60000,36.36363636,2026
single_family,,2400,3,4,2,2001,485000,202.0833333,25
single_family,,2076,3,4,2,1997,260000,125.2408478,29
farm,,1650,,,,,49000,29.6969697,2026
single_family,,2232,3,3,,,899000,402.7777778,2026
condos,condo,1538,3,3,2,1985,490000,318.5955787,41
single_family,,1758,2,3,2,1986,415000,236.0637088,40
single_family,,2834,5,5,3,2006,675000,238.1792519,20
single_family,,3578,5,5,2,2021,500000,139.7428731,5
single_family,,2142,3,3,1,2025,390930,182.5070028,1
single_family,,2164,,3,2,,,0,2026
single_family,,3650,6,5,3,2017,3395000,930.1369863,9
condos,condo,786,2,2,1,1976,249900,317.9389313,50
condos,condo,1152,2,2,1,1981,445000,386.2847222,45
single_family,,3612,6,5,2,2022,4300000,1190.47619,4
land,,1650,0,,,,12000,7.272727273,2026
single_family,,2725,4,3,1,2013,1265000,464.2201835,13
single_family,,2316,3,3,1,,299900,129.4905009,2026
single_family,,1749,3,4,2,2001,350000,200.1143511,25
single_family,,1932,3,3,2,1978,475000,245.8592133,48
single_family,,2838,3,5,3,2003,815000,287.1740662,23
single_family,,3610,3,3,,1983,400000,110.8033241,43
single_family,,3102,4,4,2,2004,875000,282.0760799,22
single_family,,1458,2,3,,1961,218000,149.5198903,65
single_family,,1200,2,3,1,1987,315000,262.5,39
single_family,,2017,6,7,2,2015,588900,291.9682697,11
single_family,,1664,3,3,,1995,354900,213.28125,31
single_family,,2030,2,3,1,2025,559030,275.3842365,1
single_family,,1650,4,4,2,2024,980000,593.9393939,2
single_family,,2012,3,4,2,2002,295000,146.6202783,24
single_family,,1924,2,3,1,1953,324999,168.9183992,73
single_family,,1434,2,4,1,1936,85000,59.27475593,90
single_family,,1775,2,3,1,2019,435000,245.0704225,7
land,,1650,0,,,,375000,227.2727273,2026
single_family,,1700,2,3,,2024,305000,179.4117647,2
single_family,,901,2,2,2,1975,499000,553.8290788,51
single_family,,1779,2,4,1,2023,369000,207.4198988,3
single_family,,2938,3,4,2,2018,595000,202.5187202,8
single_family,,1257,2,2,1,2004,200000,159.1089897,22
single_family,,2756,3,4,2,2016,399999,145.1375181,10
single_family,,1382,2,3,1,2025,265000,191.7510854,1
single_family,,1987,3,3,1,2025,447740,225.3346754,1
land,,1650,0,,,,80000,48.48484848,2026
single_family,,1361,2,3,1,1968,149900,110.1396032,58
single_family,,2261,3,5,2,1957,169900,75.14374171,69
single_family,,1650,1,3,1,1950,350000,212.1212121,76
single_family,,3252,3,4,2,2008,700000,215.2521525,18
condos,condo,1060,2,2,,,395000,372.6415094,2026
single_family,,1224,1,3,1,1963,140000,114.379085,63
single_family,,1152,2,2,1,1984,279000,242.1875,42
single_family,,1628,2,2,1,1986,674900,414.5577396,40
single_family,,1174,2,4,,2025,338900,288.6712095,1
single_family,,1900,2,3,2,1981,369900,194.6842105,45
land,,1650,0,,,,223000,135.1515152,2026
single_family,,1382,2,3,,2025,265000,191.7510854,1
single_family,,1854,,3,2,,569990,307.437972,2026
single_family,,2445,4,4,,2005,395000,161.5541922,21
single_family,,3600,3,6,2,2008,850000,236.1111111,18
single_family,,1950,2,4,2,1987,384900,197.3846154,39
single_family,,1934,3,4,2,2025,349900,180.9203723,1
single_family,,1423,2,4,,1977,244900,172.1011947,49
condos,condo,935,2,2,,1993,208000,222.459893,33
land,,1650,0,,,,250000,151.5151515,2026
single_family,,1291,2,3,1,2002,275000,213.0131681,24
land,,1650,0,,,,85900,52.06060606,2026
single_family,,1654,5,5,2,2025,759900,459.4316808,1
single_family,,1728,2,3,1,1965,227000,131.3657407,61
single_family,,1814,3,3,,,957000,527.5633958,2026
single_family,,1947,2,3,2,,250000,128.4026708,2026
single_family,,3032,3,4,1,1955,235000,77.50659631,71
land,,1650,0,,,,138750,84.09090909,2026
land,,1650,0,,,,12000,7.272727273,2026
single_family,,1171,2,3,1,1950,339900,290.264731,76
single_family,,260,1,1,3,1998,269000,1034.615385,28
condos,condo,450,1,,1,1997,134900,299.7777778,29
single_family,,2450,3,3,2,1975,315000,128.5714286,51
land,,1650,0,,,,155000,93.93939394,2026
land,,1650,0,,,,10900,6.606060606,2026
land,,1650,0,,,,219000,132.7272727,2026
land,,1650,0,,,,11000,6.666666667,2026
land,,1650,0,,,,339900,206,2026
land,,1650,0,,,,131835,79.9,2026
land,,1650,0,,,,150000,90.90909091,2026
land,,1650,0,,,,91575,55.5,2026
land,,1650,0,,,,179900,109.030303,2026
condos,condo,1340,3,2,2,1982,489000,364.9253731,44
condos,condo,1059,2,2,1,2005,145000,136.9216242,21
land,,1650,0,,,,189900,115.0909091,2026
land,,1650,0,,,,60000,36.36363636,2026
land,,1650,0,,,,49000,29.6969697,2026
single_family,,2100,2,4,1,1976,175000,83.33333333,50
single_family,,1252,2,3,1,1989,645000,515.1757188,37
land,,1650,,,,,75000,45.45454545,2026
land,,1650,0,,,,169500,102.7272727,2026
land,,1650,0,,,,20000,12.12121212,2026
single_family,,1300,2,3,,1966,155000,119.2307692,60
single_family,,1913,,3,1,,336990,176.1578672,2026
land,,1650,0,,,,125000,75.75757576,2026
condos,condo,1460,2,2,1,2007,365000,250,19
land,,1650,0,,,,102450,62.09090909,2026
land,,1650,0,,,,21500,13.03030303,2026
land,,1650,0,,,,125000,75.75757576,2026
single_family,,1646,3,3,2,2023,444000,269.744836,3
land,,1650,0,,,,59000,35.75757576,2026
land,,1650,,,,,32000,19.39393939,2026
land,,1650,0,,,,189900,115.0909091,2026
land,,1650,0,,,,130645,79.17878788,2026
land,,1650,0,,,,68000,41.21212121,2026
land,,1650,0,,,,149000,90.3030303,2026
land,,1650,0,,,,170200,103.1515152,2026
single_family,,2229,2,3,1,,529999,237.7743383,2026
land,,1650,0,,,,195000,118.1818182,2026
townhomes,townhouse,2487,4,4,3,2022,609900,245.2352232,4
land,,1650,0,,,,16900,10.24242424,2026
land,,1650,0,,,,40000,24.24242424,2026
land,,1650,0,,,,165000,100,2026
land,,1650,0,,,,90000,54.54545455,2026
land,,1650,0,,,,268000,162.4242424,2026
land,,1650,0,,,,495000,300,2026
land,,1650,0,,,,115000,69.6969697,2026
land,,1650,0,,,,16900,10.24242424,2026
land,,1650,0,,,,189900,115.0909091,2026
condos,condo,2030,3,2,1,2007,879000,433.0049261,19
single_family,,1740,2,3,1,1997,250000,143.6781609,29
land,,1650,0,,,,150000,90.90909091,2026
land,,1650,0,,,,120000,72.72727273,2026
land,,1650,0,,,,55000,33.33333333,2026
single_family,,4419,5,5,3,1998,829500,187.7121521,28
single_family,,1756,2,3,1,,499000,284.1685649,2026
single_family,,1650,2,3,,2007,309900,187.8181818,19
single_family,,1671,2,3,1,1994,242000,144.823459,32
single_family,,2433,3,4,1,2022,375000,154.1307028,4
single_family,,2000,2,5,2,1984,599000,299.5,42
townhomes,townhouse,1909,3,3,2,2025,313000,163.9601886,1
single_family,,3985,4,5,2,2022,569900,143.0112923,4
single_family,,1927,3,4,2,,290620,150.8147379,2026
single_family,,2191,3,4,1,2021,549000,250.5705157,5
land,,1650,0,,,,118000,71.51515152,2026
single_family,,916,2,2,1,,232000,253.2751092,2026
single_family,,1400,2,3,1,1975,249000,177.8571429,51
land,,1650,0,,,,215200,130.4242424,2026
single_family,,1909,2,3,1,2021,354500,185.699319,5
land,,1650,0,,,,210000,127.2727273,2026
land,,1650,0,,,,115000,69.6969697,2026
land,,1650,0,,,,14500,8.787878788,2026
land,,1650,0,,,,124000,75.15151515,2026
land,,1650,0,,,,118000,71.51515152,2026
single_family,,2000,2,4,1,1999,419900,209.95,27
land,,1650,0,,,,1361250,825,2026
single_family,,2340,3,4,2,2005,589000,251.7094017,21
single_family,,1100,2,2,1,2004,245000,222.7272727,22
land,,1650,0,,,,4468000,2707.878788,2026
land,,1650,0,,,,118000,71.51515152,2026
land,,1650,0,,,,225000,136.3636364,2026
single_family,,3150,4,5,1,1944,694900,220.6031746,82
land,,1650,,,,,350000,212.1212121,2026
land,,1650,0,,,,124000,75.15151515,2026
single_family,,4062,5,5,2,1996,884687,217.7959133,30
land,,1650,0,,,,391510,237.2787879,2026
land,,1650,0,,,,569000,344.8484848,2026
land,,1650,0,,,,658290,398.9636364,2026
land,,1650,0,,,,750000,454.5454545,2026
land,,1650,0,,,,1890000,1145.454545,2026
land,,1650,0,,,,160000,96.96969697,2026
land,,1650,0,,,,195000,118.1818182,2026
land,,1650,0,,,,350000,212.1212121,2026
single_family,,775,1,3,,1966,75000,96.77419355,60
land,,1650,0,,,,350000,212.1212121,2026
land,,1650,0,,,,875000,530.3030303,2026
land,,1650,0,,,,1950000,1181.818182,2026
land,,1650,0,,,,2471122,1497.649697,2026
land,,1650,0,,,,2675000,1621.212121,2026
land,,1650,0,,,,433563,262.7654545,2026
land,,1650,0,,,,99000,60,2026
land,,1650,0,,,,1950000,1181.818182,2026
land,,1650,0,,,,677500,410.6060606,2026
single_family,,1004,1,3,1,1991,189900,189.1434263,35
land,,1650,0,,,,800000,484.8484848,2026
land,,1650,0,,,,868447,526.3315152,2026
single_family,,760,1,1,1,2004,398000,523.6842105,22
land,,1650,0,,,,650000,393.9393939,2026
land,,1650,0,,,,124000,75.15151515,2026
multi_family,,1200,,4,,1950,169900,141.5833333,76
single_family,,2486,4,3,2,1986,285000,114.6419952,40
single_family,,2071,2,3,2,1945,430000,207.6291647,81
single_family,,3040,3,5,2,2005,530000,174.3421053,21
land,,1650,0,,,,124000,75.15151515,2026
condos,condo,1861,2,2,,,318000,170.8758732,2026
single_family,,4900,5,8,3,2008,1849500,377.4489796,18
single_family,,1553,2,3,1,1980,599000,385.7050869,46
farm,,1650,,,,,1195000,724.2424242,2026
single_family,,1872,3,4,1,1982,230000,122.8632479,44
single_family,,1401,2,3,,,399500,285.1534618,2026
single_family,,1200,0,1,,2023,250000,208.3333333,3
single_family,,1490,2,3,1,1920,189500,127.1812081,106
townhomes,townhouse,2059,3,3,2,2024,455000,220.9810588,2
single_family,,1570,2,3,1,1972,299900,191.0191083,54
land,,1650,0,,,,58900,35.6969697,2026
single_family,,1515,3,3,2,1995,280000,184.8184818,31
land,,1650,0,,,,580000,351.5151515,2026
condos,condo,1029,2,2,1,1985,168000,163.2653061,41
single_family,,1260,2,3,1,1975,189000,150,51
condos,condo,1608,3,3,1,,199900,124.3159204,2026
land,,1650,0,,,,145000,87.87878788,2026
single_family,,2468,1,5,2,1920,299000,121.1507293,106
land,,1650,0,,,,249500,151.2121212,2026
single_family,,2449,4,5,2,2025,451250,184.2588812,1
single_family,,1435,2,3,1,,380460,265.1289199,2026
land,,1650,0,,,,1100000,666.6666667,2026
land,,1650,0,,,,274000,166.0606061,2026
single_family,,1479,2,2,1,2024,445000,300.8789723,2
single_family,,2231,3,4,2,2016,315000,141.1922905,10
land,,1650,0,,,,294900,178.7272727,2026
land,,1650,0,,,,680000,412.1212121,2026
land,,1650,0,,,,8750,5.303030303,2026
land,,1650,0,,,,295000,178.7878788,2026
land,,1650,0,,,,880000,533.3333333,2026
single_family,,1877,2,3,1,1990,274900,146.4571124,36
land,,1650,,,,,180000,109.0909091,2026
land,,1650,0,,,,860000,521.2121212,2026
land,,1650,0,,,,165000,100,2026
single_family,,2635,3,4,1,1975,360000,136.6223909,51
land,,1650,0,,,,420000,254.5454545,2026
land,,1650,0,,,,600000,363.6363636,2026
land,,1650,0,,,,775000,469.6969697,2026
land,,1650,0,,,,1115500,676.0606061,2026
land,,1650,0,,,,218500,132.4242424,2026
land,,1650,0,,,,2652000,1607.272727,2026
land,,1650,0,,,,750000,454.5454545,2026
single_family,,1650,1,3,1,,209900,127.2121212,2026
land,,1650,0,,,,235002,142.4254545,2026
land,,1650,0,,,,675000,409.0909091,2026
land,,1650,0,,,,875862,530.8254545,2026
single_family,,1589,2,3,1,2004,330000,207.6777848,22
single_family,,1403,2,3,1,1969,168000,119.743407,57
single_family,,1964,2,4,1,2025,465000,236.7617108,1
single_family,,1145,2,2,,2022,575000,502.1834061,4
land,,1650,0,,,,419000,253.9393939,2026
condos,condo,622,1,1,1,1983,89900,144.5337621,43
single_family,,1903,2,3,1,1940,329900,173.357856,86
condos,condo,1637,2,3,1,2004,299000,182.6511912,22
land,,1650,0,,,,905000,548.4848485,2026
single_family,,1814,2,3,2,1952,365000,201.2127894,74
land,,1650,0,,,,2450000,1484.848485,2026
single_family,,1344,2,3,1,2025,215000,159.9702381,1
single_family,,2986,2,4,1,,335900,112.4916276,2026
condos,condo,1459,2,2,,,675000,462.6456477,2026
single_family,,360,1,1,1,2010,49000,136.1111111,16
condos,condo,750,1,2,1,2006,190000,253.3333333,20
single_family,,1210,1,2,1,1985,249000,205.785124,41
condos,condo,412,1,,1,1972,119900,291.0194175,54
single_family,,8005,8,5,,2024,3850000,480.9494066,2
single_family,,4271,5,5,2,2015,449000,105.1276048,11
single_family,,1375,2,3,1,1963,214000,155.6363636,63
land,,1650,0,,,,42000,25.45454545,2026
land,,1650,0,,,,25000,15.15151515,2026
single_family,,1313,2,3,1,2003,359900,274.1051028,23
land,,1650,0,,,,35000,21.21212121,2026
single_family,,2350,5,6,3,2004,584000,248.5106383,22
single_family,,2867,3,4,,2003,449500,156.7840949,23
land,,1650,0,,,,38000,23.03030303,2026
single_family,,2797,4,5,2,2025,393425,140.6596353,1
land,,1650,0,,,,35999,21.81757576,2026
single_family,,1988,2,4,1,1998,465000,233.9034205,28
land,,1650,0,,,,50000,30.3030303,2026
land,,1650,0,,,,319800,193.8181818,2026
land,,1650,0,,,,119000,72.12121212,2026
land,,1650,0,,,,199900,121.1515152,2026
single_family,,1942,2,4,1,1954,349000,179.7116375,72
land,,1650,0,,,,70000,42.42424242,2026
land,,1650,0,,,,129000,78.18181818,2026
single_family,,1587,3,3,,,405000,255.1984877,2026
land,,1650,0,,,,199900,121.1515152,2026
land,,1650,0,,,,299000,181.2121212,2026
land,,1650,0,,,,199500,120.9090909,2026
land,,1650,0,,,,55000,33.33333333,2026
land,,1650,0,,,,60000,36.36363636,2026
single_family,,1643,2,3,1,1994,239900,146.0133901,32
land,,1650,0,,,,325000,196.969697,2026
land,,1650,0,,,,35000,21.21212121,2026
land,,1650,0,,,,78800,47.75757576,2026
single_family,,2300,2,3,1,,240000,104.3478261,2026
single_family,,2280,4,4,2,2011,915000,401.3157895,15
single_family,,1704,2,3,1,2000,355000,208.3333333,26
land,,1650,0,,,,200000,121.2121212,2026
single_family,,2800,3,4,2,,389000,138.9285714,2026
single_family,,2058,2,3,2,2021,335000,162.7793975,5
land,,1650,0,,,,54900,33.27272727,2026
single_family,,1764,2,3,1,1970,237500,134.6371882,56
single_family,,1000,2,2,1,,169900,169.9,2026
land,,1650,0,,,,424000,256.969697,2026
land,,1650,0,,,,130000,78.78787879,2026
single_family,,1929,2,3,,2003,395000,204.7693105,23
single_family,,1689,3,2,3,1820,1795000,1062.759029,206
land,,1650,0,,,,82800,50.18181818,2026
duplex_triplex,townhouse,1644,2,3,,2006,220000,133.8199513,20
single_family,,1750,2,3,1,1963,729500,416.8571429,63
single_family,,1287,3,3,2,2023,405000,314.6853147,3
land,,1650,0,,,,89900,54.48484848,2026
land,,1650,0,,,,70000,42.42424242,2026
single_family,,3421,3,3,,,1175000,343.4668226,2026
land,,1650,0,,,,185000,112.1212121,2026
single_family,,3056,3,4,2,1999,648000,212.0418848,27
land,,1650,0,,,,35000,21.21212121,2026
single_family,,2678,3,4,2,2017,400000,149.3651979,9
single_family,,1458,2,3,1,1985,733500,503.0864198,41
condos,condo,1501,3,3,2,2006,419000,279.1472352,20
condos,condo,642,1,,,1989,101500,158.0996885,37
single_family,,2585,3,3,2,2025,529900,204.9903288,1
land,,1650,0,,,,125000,75.75757576,2026
land,,1650,0,,,,253000,153.3333333,2026
land,,1650,0,,,,92900,56.3030303,2026
condos,condo,1275,2,2,,2007,262000,205.4901961,19
single_family,,4184,4,4,3,2025,1975000,472.0363289,1
land,,1650,0,,,,34900,21.15151515,2026
condos,condo,1064,2,2,,1984,129900,122.0864662,42
land,,1650,0,,,,10000,6.060606061,2026
townhomes,townhouse,1634,3,3,2,2025,209999,128.5183599,1
single_family,,1532,,3,1,,332499,217.0359008,2026
single_family,,1482,2,4,1,2023,275000,185.560054,3
land,,1650,0,,,,325000,196.969697,2026
single_family,,2924,3,4,,1945,125000,42.749658,81
land,,1650,0,,,,1900000,1151.515152,2026
land,,1650,0,,,,425000,257.5757576,2026
single_family,,3332,3,4,2,2008,737500,221.3385354,18
land,,1650,0,,,,234000,141.8181818,2026
single_family,,1902,2,3,1,,478550,251.6035752,2026
single_family,,2410,3,4,2,2022,376900,156.3900415,4
single_family,,1548,2,2,1,1963,177000,114.3410853,63
single_family,,1268,2,3,1,1997,259000,204.2586751,29
land,,1650,0,,,,1900000,1151.515152,2026
land,,1650,0,,,,466300,282.6060606,2026
single_family,,1953,2,3,1,1979,339000,173.5791091,47
single_family,,1419,,3,1,,297990,210,2026
single_family,,2578,3,5,2,2025,275899,107.0205586,1
land,,1650,,,,,599000,363.030303,2026
single_family,,2778,3,5,2,2022,640000,230.3815695,4
single_family,,2340,3,4,2,,326298,139.4435897,2026
single_family,,2470,3,3,1,1965,850000,344.1295547,61
single_family,,1852,3,3,,,554900,299.6220302,2026
single_family,,1830,3,2,1,1992,599900,327.8142077,34
land,,1650,0,,,,115000,69.6969697,2026
land,,1650,0,,,,350000,212.1212121,2026
single_family,,1264,2,4,1,2012,249900,197.7056962,14
single_family,,3222,3,4,,1999,425000,131.9056487,27
single_family,,1987,,2,1,,,0,2026
multi_family,,2200,,,,1984,340000,154.5454545,42
single_family,,2262,3,4,2,2025,565000,249.7789567,1
land,,1650,,,,,349000,211.5151515,2026
single_family,,2281,3,4,2,1994,335000,146.8654099,32
single_family,,2883,4,4,2,2025,779900,270.5168228,1
